FID,OBJECTID,STATE,FIPS,FENAME,CNTYFIPS,SHAPE_Leng,CAMPNAME,NAME,SHAPE_Length,SHAPE_Area
96,173,48,383,REAGAN,48383,222386.0118,,,2.153424096,3032898737
97,51,48,463,UVALDE,48463,254340.121,,,2.471503023,4024129562
98,174,48,5,ANGELINA,48005,337511.2752,,,3.335131346,2229433224
99,52,48,271,KINNEY,48271,248604.8824,,,2.416992142,3525078252
100,53,48,507,ZAVALA,48507,235224.7819,,,2.292945319,3363034061
101,175,48,145,FALLS,48145,182441.3754,,,1.798256833,1995660060
102,54,48,323,MAVERICK,48323,299744.7535,,,2.847482293,3337898582
103,176,48,235,IRION,48235,208420.5284,,,2.047928043,2712066262
104,55,48,127,DIMMIT,48127,239089.0031,,,2.326154941,3450089421
105,177,48,455,TRINITY,48455,227138.8975,,,2.21942045,1841441911
106,56,48,247,JIM HOGG,48247,239217.0106,,,2.271439289,2945957660
107,57,48,505,ZAPATA,48505,238461.5811,,,2.247706217,2743853056
108,58,48,261,KENEDY,48261,300638.6509,,,2.862762934,5046425334
109,178,48,281,LAMPASAS,48281,201142.7242,,,1.996873096,1841325016
110,59,48,47,BROOKS,48047,215222.2986,,,2.056280772,2446741900
111,179,48,395,ROBERTSON,48395,254110.0358,,,2.493818661,2232630128
112,60,48,215,HIDALGO,48215,343896.5765,,,3.240679705,4110883151
113,61,48,427,STARR,48427,270346.9513,,,2.589183981,3191450989
114,180,48,371,PECOS,48371,608765.5077,,,5.963350219,12289461549
115,62,48,489,WILLACY,48489,229100.9114,,,2.227662012,2036497975
116,181,48,27,BELL,48027,220289.8523,,,2.181387339,2805835862
117,182,48,241,JASPER,48241,384350.2281,,,3.723587895,2500921841
118,63,48,61,CAMERON,48061,359261.0923,,,3.403985392,3317590982
119,183,48,373,POLK,48373,282671.4881,,,2.75820294,2862442702
120,64,48,387,RED RIVER,48387,356093.8516,,,3.452236459,2732191186
121,184,48,457,TYLER,48457,271711.0932,,,2.653530499,2413401972
122,185,48,313,MADISON,48313,195861.15,,,1.964075708,1218469245
123,65,48,37,BOWIE,48037,409166.7504,,,4.01572237,2383255861
124,186,48,331,MILAM,48331,235334.0662,,,2.306680989,2635095808
125,66,48,449,TITUS,48449,200855.9011,,,1.926996041,1099114846
126,187,48,471,WALKER,48471,218101.6381,,,2.10831217,2067099787
127,188,48,105,CROCKETT,48105,506071.7759,,,5.026272977,7241175775
128,189,48,413,SCHLEICHER,48413,244812.1115,,,2.445637515,3380341493
129,190,48,53,BURNET,48053,253954.3661,,,2.492265531,2633272945
130,191,48,41,BRAZOS,48041,282906.0437,,,2.747722718,1522552924
131,67,48,159,FRANKLIN,48159,146935.3964,,,1.395513079,761057202.7
132,192,48,407,SAN JACINTO,48407,225207.2704,,,2.193814644,1619600588
133,68,48,343,MORRIS,48343,159682.7486,,,1.510566263,667722114.6
134,193,48,185,GRIMES,48185,246810.8596,,,2.386667383,2066558577
135,69,48,67,CASS,48067,274685.6201,,,2.699341881,2479189076
136,194,48,491,WILLIAMSON,48491,251655.6881,,,2.479650297,2926864124
137,70,48,63,CAMP,48063,135771.3204,,,1.370600803,524506888.2
138,71,48,499,WOOD,48499,223370.7633,,,2.184919935,1795718332
139,195,48,51,BURLESON,48051,243070.5655,,,2.39263064,1748334659
140,196,48,267,KIMBLE,48267,249392.7223,,,2.471993873,3226757766
141,72,48,315,MARION,48315,198995.1808,,,2.021823174,1084870747
142,197,48,435,SUTTON,48435,254539.8821,,,2.527067076,3751615868
143,73,48,459,UPSHUR,48459,181649.7867,,,1.789299694,1529485739
144,198,48,339,MONTGOMERY,48339,274346.003,,,2.653693008,2777919263
